recv[177] = -1.617409, hard = 0
recv[178] = -0.411026, hard = 0
recv[179] = -0.724389, hard = 0
recv[180] = -1.520768, hard = 0
recv[181] = -1.855116, hard = 0
recv[182] = -0.464183, hard = 0
recv[183] = -1.210965, hard = 0
recv[184] = -2.017222, hard = 0
recv[185] = -0.960865, hard = 0
recv[186] = -1.316355, hard = 0
recv[187] = -0.203002, hard = 0
recv[188] = -2.554190, hard = 0
recv[189] = -0.171415, hard = 0
recv[190] = -1.076797, hard = 0
recv[191] = -0.959167, hard = 0
recv[192] = -1.909126, hard = 0
recv[193] = -1.568048, hard = 0
recv[194] = -1.787457, hard = 0
recv[195] = -1.135987, hard = 0
recv[196] = -1.891444, hard = 0
recv[197] = -0.478446, hard = 0
recv[198] = 0.041570, hard = 1
recv[199] = -1.261910, hard = 0
recv[200] = 0.432242, hard = 1
recv[201] = -1.978287, hard = 0
recv[202] = -0.572903, hard = 0
recv[203] = -2.447445, hard = 0
recv[204] = 0.419813, hard = 1
recv[205] = -0.515056, hard = 0
recv[206] = -0.755629, hard = 0
recv[207] = -0.563261, hard = 0
recv[208] = -1.277636, hard = 0
recv[209] = -1.555605, hard = 0
recv[210] = 0.038602, hard = 1
recv[211] = -1.107368, hard = 0
recv[212] = -0.112211, hard = 0
recv[213] = -0.534279, hard = 0
recv[214] = -1.642692, hard = 0
recv[215] = -0.780235, hard = 0
recv[216] = -0.492886, hard = 0
recv[217] = -1.220081, hard = 0
recv[218] = -1.108804, hard = 0
recv[219] = -1.333499, hard = 0
recv[220] = -0.857959, hard = 0
recv[221] = -1.486971, hard = 0
recv[222] = -1.955823, hard = 0
recv[223] = -1.233689, hard = 0
recv[224] = -1.578580, hard = 0
recv[225] = -1.292882, hard = 0
recv[226] = -1.588036, hard = 0
recv[227] = 0.352179, hard = 1
recv[228] = -0.723087, hard = 0
recv[229] = -0.647284, hard = 0
recv[230] = -1.011256, hard = 0
recv[231] = -1.094000, hard = 0
recv[232] = -0.399388, hard = 0
recv[233] = -1.670391, hard = 0
recv[234] = -1.471310, hard = 0
recv[235] = -2.549523, hard = 0
recv[236] = 0.522325, hard = 1
recv[237] = -1.943212, hard = 0
recv[238] = -0.665285, hard = 0
recv[239] = -1.183951, hard = 0
recv[240] = -2.722079, hard = 0
recv[241] = -1.006222, hard = 0
recv[242] = -1.457744, hard = 0
recv[243] = -2.432256, hard = 0
recv[244] = -2.920146, hard = 0
recv[245] = 0.330374, hard = 1
recv[246] = -1.393104, hard = 0
recv[247] = -1.143336, hard = 0
recv[248] = 0.450572, hard = 1
recv[249] = -0.579168, hard = 0
recv[250] = -0.011396, hard = 0
recv[251] = -0.736604, hard = 0
recv[252] = 0.233434, hard = 1
recv[253] = -1.391167, hard = 0
recv[254] = -0.056866, hard = 0
recv[255] = -1.719804, hard = 0
recv[256] = -0.497041, hard = 0
recv[257] = -0.178798, hard = 0
recv[258] = -2.010881, hard = 0
recv[259] = -0.975713, hard = 0
recv[260] = -1.314833, hard = 0
recv[261] = -2.101298, hard = 0
recv[262] = -0.673710, hard = 0
recv[263] = -2.210201, hard = 0
recv[264] = -0.412505, hard = 0
recv[265] = -0.970428, hard = 0
recv[266] = -1.506102, hard = 0
recv[267] = -0.425661, hard = 0
recv[268] = -2.227443, hard = 0
recv[269] = -0.497037, hard = 0
recv[270] = -0.428173, hard = 0
recv[271] = -1.803203, hard = 0
recv[272] = -1.498378, hard = 0
recv[273] = -0.501617, hard = 0
recv[274] = -1.008994, hard = 0
recv[275] = -1.166295, hard = 0
recv[276] = -0.909190, hard = 0
recv[277] = -1.850876, hard = 0
recv[278] = -0.809707, hard = 0
recv[279] = -2.392364, hard = 0
recv[280] = -0.005781, hard = 0
recv[281] = -1.757295, hard = 0
recv[282] = -0.641928, hard = 0
recv[283] = -0.896665, hard = 0
recv[284] = 0.114066, hard = 1
recv[285] = -1.651656, hard = 0
recv[286] = -1.665005, hard = 0
recv[287] = 0.177510, hard = 1
recv[288] = -0.288231, hard = 0
recv[289] = -1.586194, hard = 0
recv[290] = -0.401908, hard = 0
recv[291] = -1.971680, hard = 0
recv[292] = -1.248766, hard = 0
recv[293] = -2.346033, hard = 0
recv[294] = -0.522416, hard = 0
recv[295] = -0.321935, hard = 0
recv[296] = -2.328807, hard = 0
recv[297] = -0.149287, hard = 0
recv[298] = -0.950235, hard = 0
recv[299] = 0.005348, hard = 1
recv[300] = -1.021896, hard = 0
recv[301] = -2.014191, hard = 0
recv[302] = -1.086674, hard = 0
recv[303] = -2.715137, hard = 0
recv[304] = -1.609271, hard = 0
recv[305] = -1.848046, hard = 0
recv[306] = -1.263306, hard = 0
recv[307] = 0.217977, hard = 1
recv[308] = -2.359087, hard = 0
recv[309] = -0.196300, hard = 0
recv[310] = -0.806959, hard = 0
recv[311] = -0.459341, hard = 0
recv[312] = -2.686449, hard = 0
recv[313] = -0.878225, hard = 0
recv[314] = -1.267564, hard = 0
recv[315] = -2.169629, hard = 0
recv[316] = -0.636351, hard = 0
recv[317] = -1.476112, hard = 0
recv[318] = -2.192102, hard = 0
recv[319] = -1.029292, hard = 0
recv[320] = -1.928587, hard = 0
recv[321] = -1.650248, hard = 0
recv[322] = -1.703432, hard = 0
recv[323] = 1.454548, hard = 1
recv[324] = -0.559233, hard = 0
recv[325] = -0.358061, hard = 0
recv[326] = -0.995953, hard = 0
recv[327] = -1.463822, hard = 0
recv[328] = 0.484548, hard = 1
recv[329] = -0.304998, hard = 0
recv[330] = -1.732239, hard = 0
recv[331] = -1.863805, hard = 0
recv[332] = -2.646373, hard = 0
recv[333] = -2.971880, hard = 0
recv[334] = -1.424501, hard = 0
recv[335] = -1.728035, hard = 0
recv[336] = -1.202003, hard = 0
recv[337] = -2.107594, hard = 0
recv[338] = -0.932578, hard = 0
recv[339] = -1.702022, hard = 0
recv[340] = -0.984513, hard = 0
recv[341] = -2.085508, hard = 0
recv[342] = -0.947934, hard = 0
recv[343] = -1.744441, hard = 0
recv[344] = -0.695071, hard = 0
recv[345] = -1.770220, hard = 0
