51.048	14.891	161.18	3.7440	6.3700	4.6750
50.652	15.593	159.96	3.8420	5.6970	4.7360
48.633	15.088	159.61	3.8430	5.9860	4.8000
49.022	14.997	160.88	3.7760	5.9560	4.8330
48.802	15.519	161.37	4.1620	6.1470	4.8020
48.820	15.458	159.99	3.8410	6.0820	4.5470
49.353	14.777	160.98	3.7760	6.2110	4.4820
48.523	15.514	159.65	3.6480	6.3040	4.4810
48.432	15.507	158.24	3.7120	6.3700	4.3210
48.709	15.528	160.12	3.6830	6.3380	4.8030
48.641	15.696	159.74	3.6820	6.0520	4.6090
49.162	16.329	159.58	3.8410	5.8890	4.5140
48.259	15.738	161.33	3.8090	6.1140	4.6730
48.363	15.410	161.50	3.7130	5.8260	4.8030
48.807	15.689	160.47	3.6800	5.8900	4.6430
48.751	15.483	161.37	3.9390	6.4020	4.4830
48.678	15.682	160.70	3.8720	6.1770	4.5770
49.853	14.665	159.93	3.9360	6.0500	4.5470
49.096	14.756	158.72	3.8730	5.7960	4.4500
49.960	13.744	158.58	3.7760	5.9840	4.7690
