recv[177] = -1.199084, hard = 0
recv[178] = -0.516031, hard = 0
recv[179] = -0.871250, hard = 0
recv[180] = 1.188147, hard = 1
recv[181] = 0.007660, hard = 1
recv[182] = 1.875348, hard = 1
recv[183] = 0.439501, hard = 1
recv[184] = 1.655466, hard = 1
recv[185] = 0.752258, hard = 1
recv[186] = -0.551592, hard = 0
recv[187] = 1.392077, hard = 1
recv[188] = 1.199328, hard = 1
recv[189] = -0.969094, hard = 0
recv[190] = 1.135158, hard = 1
recv[191] = -0.888782, hard = 0
recv[192] = 0.894590, hard = 1
recv[193] = -0.559201, hard = 0
recv[194] = 1.511404, hard = 1
recv[195] = 1.216081, hard = 1
recv[196] = 1.440106, hard = 1
recv[197] = 1.938615, hard = 1
recv[198] = -0.835585, hard = 0
recv[199] = 1.345571, hard = 1
recv[200] = 0.102987, hard = 1
recv[201] = 0.253309, hard = 1
recv[202] = 0.148720, hard = 1
recv[203] = 2.374649, hard = 1
recv[204] = -0.364985, hard = 0
recv[205] = -1.214026, hard = 0
recv[206] = 0.874837, hard = 1
recv[207] = 0.598553, hard = 1
recv[208] = 1.193952, hard = 1
recv[209] = -0.336937, hard = 0
recv[210] = -0.461953, hard = 0
recv[211] = 1.703825, hard = 1
recv[212] = -0.375464, hard = 0
recv[213] = 0.910854, hard = 1
recv[214] = -1.833632, hard = 0
recv[215] = -0.709628, hard = 0
recv[216] = 1.059680, hard = 1
recv[217] = 1.219042, hard = 1
recv[218] = -0.115841, hard = 0
recv[219] = 1.581981, hard = 1
recv[220] = -0.462908, hard = 0
recv[221] = -2.045562, hard = 0
recv[222] = 1.004604, hard = 1
recv[223] = -1.061151, hard = 0
recv[224] = -0.933896, hard = 0
recv[225] = 0.992478, hard = 1
recv[226] = -0.681240, hard = 0
recv[227] = 0.517643, hard = 1
recv[228] = -1.212700, hard = 0
recv[229] = -0.931652, hard = 0
recv[230] = -1.587147, hard = 0
recv[231] = -2.152027, hard = 0
recv[232] = -1.350514, hard = 0
recv[233] = 0.279477, hard = 1
recv[234] = 1.432315, hard = 1
recv[235] = 1.607275, hard = 1
recv[236] = -0.801745, hard = 0
recv[237] = -1.775286, hard = 0
recv[238] = 1.323877, hard = 1
recv[239] = 1.092625, hard = 1
recv[240] = 0.109763, hard = 1
recv[241] = 0.745762, hard = 1
recv[242] = -1.556149, hard = 0
recv[243] = 0.461498, hard = 1
recv[244] = 0.991274, hard = 1
recv[245] = -0.936424, hard = 0
recv[246] = -1.104798, hard = 0
recv[247] = -1.325082, hard = 0
recv[248] = -1.342502, hard = 0
recv[249] = -1.330572, hard = 0
recv[250] = 0.047532, hard = 1
recv[251] = 0.084339, hard = 1
recv[252] = 1.212200, hard = 1
recv[253] = 0.123361, hard = 1
recv[254] = 2.203066, hard = 1
recv[255] = -1.173441, hard = 0
recv[256] = 1.982198, hard = 1
recv[257] = 1.979941, hard = 1
recv[258] = -0.231645, hard = 0
recv[259] = 1.045047, hard = 1
recv[260] = -1.271124, hard = 0
recv[261] = -0.211234, hard = 0
recv[262] = -3.308500, hard = 0
recv[263] = 2.068874, hard = 1
recv[264] = -1.024679, hard = 0
recv[265] = -1.033406, hard = 0
recv[266] = -0.837605, hard = 0
recv[267] = -3.216393, hard = 0
recv[268] = -1.667316, hard = 0
recv[269] = 1.937396, hard = 1
recv[270] = 1.592648, hard = 1
recv[271] = -0.410800, hard = 0
recv[272] = -0.628148, hard = 0
recv[273] = -0.777945, hard = 0
recv[274] = -1.665656, hard = 0
recv[275] = -1.289423, hard = 0
recv[276] = 0.870276, hard = 1
recv[277] = -1.786265, hard = 0
recv[278] = -1.023082, hard = 0
recv[279] = 1.989973, hard = 1
recv[280] = 0.586935, hard = 1
recv[281] = 2.668120, hard = 1
recv[282] = -0.155177, hard = 0
recv[283] = 0.648531, hard = 1
recv[284] = -1.199044, hard = 0
recv[285] = 1.560022, hard = 1
recv[286] = -2.052253, hard = 0
recv[287] = -0.496318, hard = 0
recv[288] = -2.238850, hard = 0
recv[289] = -1.400649, hard = 0
recv[290] = 1.138427, hard = 1
recv[291] = 1.458391, hard = 1
recv[292] = -2.294746, hard = 0
recv[293] = -1.141853, hard = 0
recv[294] = 1.569981, hard = 1
recv[295] = -0.497971, hard = 0
recv[296] = -0.318677, hard = 0
recv[297] = 0.928309, hard = 1
recv[298] = 1.123154, hard = 1
recv[299] = 2.155887, hard = 1
recv[300] = 2.135492, hard = 1
recv[301] = 0.852596, hard = 1
recv[302] = 1.280499, hard = 1
recv[303] = 0.476481, hard = 1
recv[304] = 0.853083, hard = 1
recv[305] = 1.227760, hard = 1
