recv[177] = 1.405423, hard = 1
recv[178] = -0.050450, hard = 0
recv[179] = 1.445756, hard = 1
recv[180] = 0.588282, hard = 1
recv[181] = -1.306135, hard = 0
recv[182] = -0.045606, hard = 0
recv[183] = -1.124198, hard = 0
recv[184] = 0.268806, hard = 1
recv[185] = -1.104814, hard = 0
recv[186] = -0.516620, hard = 0
recv[187] = -0.660983, hard = 0
recv[188] = -2.132434, hard = 0
recv[189] = 0.965326, hard = 1
recv[190] = 0.197015, hard = 1
recv[191] = -0.664249, hard = 0
recv[192] = 0.299401, hard = 1
recv[193] = 1.644554, hard = 1
recv[194] = 0.603338, hard = 1
recv[195] = 1.288819, hard = 1
recv[196] = -1.122558, hard = 0
recv[197] = -1.027752, hard = 0
recv[198] = -1.772488, hard = 0
recv[199] = -0.578211, hard = 0
recv[200] = -1.679211, hard = 0
recv[201] = 1.839793, hard = 1
recv[202] = 1.074254, hard = 1
recv[203] = 1.769517, hard = 1
recv[204] = 0.941565, hard = 1
recv[205] = 0.128909, hard = 1
recv[206] = 1.981439, hard = 1
recv[207] = 0.096643, hard = 1
recv[208] = 0.688808, hard = 1
recv[209] = 0.904119, hard = 1
recv[210] = -1.982626, hard = 0
recv[211] = 1.181603, hard = 1
recv[212] = 1.995801, hard = 1
recv[213] = -0.643804, hard = 0
recv[214] = -1.131615, hard = 0
recv[215] = -2.176589, hard = 0
recv[216] = -0.941204, hard = 0
recv[217] = -1.423517, hard = 0
recv[218] = -0.844296, hard = 0
recv[219] = -1.289244, hard = 0
recv[220] = 0.543683, hard = 1
recv[221] = -0.501601, hard = 0
recv[222] = 1.500303, hard = 1
recv[223] = 0.423589, hard = 1
recv[224] = -2.443973, hard = 0
recv[225] = -1.969331, hard = 0
recv[226] = 0.391301, hard = 1
recv[227] = 0.447271, hard = 1
recv[228] = 1.325350, hard = 1
recv[229] = 1.530337, hard = 1
recv[230] = -1.987066, hard = 0
recv[231] = 1.989716, hard = 1
recv[232] = 1.107980, hard = 1
recv[233] = -1.057986, hard = 0
recv[234] = 1.202500, hard = 1
recv[235] = 1.655186, hard = 1
recv[236] = 0.740206, hard = 1
recv[237] = 0.666571, hard = 1
recv[238] = 0.663067, hard = 1
recv[239] = -0.608990, hard = 0
recv[240] = -0.273010, hard = 0
recv[241] = 1.121872, hard = 1
recv[242] = 0.286630, hard = 1
recv[243] = -1.410147, hard = 0
recv[244] = 1.124913, hard = 1
recv[245] = 0.690912, hard = 1
recv[246] = 2.070611, hard = 1
recv[247] = 0.285109, hard = 1
recv[248] = -1.050989, hard = 0
recv[249] = -1.907027, hard = 0
