4.5814	985.47	1.0049	6.6910	10.373	8.7720
4.5865	986.93	1.0031	7.1390	10.692	8.7730
4.5885	986.44	1.0017	7.0430	10.565	8.9340
4.5859	983.07	1.0012	7.0110	10.274	8.8990
4.5913	986.48	1.0021	6.9790	10.312	8.8670
4.5846	986.72	999.88	7.2040	10.533	8.9000
4.5894	985.55	1.0054	6.9470	10.532	8.7090
4.5876	985.22	1.0060	7.0720	10.211	8.8050
4.5849	985.45	1.0034	6.9130	10.693	8.7050
4.5897	987.65	1.0048	7.0770	9.6040	8.6740
4.5883	986.33	1.0008	6.9460	10.691	8.7710
4.5844	987.87	1.0027	6.9480	9.9870	8.7380
4.5844	984.93	1.0013	7.2030	9.9890	8.9320
4.7618	991.97	1.0068	7.2030	10.500	10.629
4.5830	984.01	1.0025	7.1370	10.435	8.7380
4.5867	986.36	1.0054	7.1720	11.043	8.6750
4.5889	987.73	1.0036	7.0760	10.501	9.2820
4.5863	984.61	998.76	7.2020	10.212	8.8370
4.5820	986.54	1.0040	7.0430	10.308	8.6420
4.5880	985.38	1.0028	7.4900	10.180	8.6750
